split,agent,scene,frames,first_frame_idx,last_frame_idx,max_contiguous_gap,mean_occupied_cells,min_occupied_cells,max_occupied_cells
train,agent_infrastructure,32,145,4521,4665,1,685.9172413793103,392,1049
train,agent_infrastructure,33,120,4666,4785,1,453.75,330,671
train,agent_infrastructure,34,151,4786,4936,1,545.2384105960265,395,822
train,agent_infrastructure,35,141,4937,5077,1,529.950354609929,260,785
train,agent_infrastructure,36,162,5078,5239,1,322.21604938271605,76,929
train,agent_infrastructure,37,151,5240,5390,1,660.6688741721854,416,911
train,agent_infrastructure,38,148,5391,5538,1,622.1283783783783,337,886
train,agent_infrastructure,39,63,5539,5601,1,1436.5079365079366,1329,1623
train,agent_infrastructure,40,87,5602,5688,1,490.98850574712645,286,678
train,agent_infrastructure,41,220,5689,5908,1,936.9681818181818,758,1256
train,agent_infrastructure,42,219,5909,6127,1,1067.4840182648402,803,1330
train,agent_infrastructure,43,150,6128,6277,1,1160.8866666666668,870,1496
train,agent_infrastructure,44,154,6278,6431,1,1449.0324675324675,1031,2142
train,agent_infrastructure,45,108,6432,6539,1,457.72222222222223,291,621
train,agent_infrastructure,46,180,6540,6719,1,132.9,52,233
train,agent_infrastructure,47,190,6720,6909,1,489.89473684210526,130,986
train,agent_infrastructure,48,180,6910,7089,1,383.6722222222222,199,593
train,agent_infrastructure,49,190,7090,7279,1,551.5526315789474,419,689
train,agent_infrastructure,50,194,7280,7473,1,640.6443298969073,397,841
train,agent_infrastructure,51,210,7474,7683,1,562.4333333333333,24,809
train,agent_infrastructure,52,171,7684,7854,1,541.3508771929825,271,886
train,agent_infrastructure,53,184,7855,8038,1,891.9239130434783,528,1405
train,agent_infrastructure,54,170,8039,8208,1,530.1117647058824,299,752
train,agent_infrastructure,55,200,8209,8408,1,310.635,0,613
train,agent_infrastructure,56,121,8409,8529,1,812.1074380165289,383,1047
train,agent_infrastructure,57,130,8530,8659,1,753.7538461538461,580,963
train,agent_infrastructure,58,140,8660,8799,1,885.55,702,1164
train,agent_vehicle,0,210,0,209,1,1372.5428571428572,532,2632
train,agent_vehicle,1,8,210,217,1,1099.75,904,1224
train,agent_vehicle,2,192,218,409,1,594.2864583333334,0,1750
train,agent_vehicle,3,9,410,418,1,609.5555555555555,459,760
train,agent_vehicle,4,450,419,868,1,1149.068888888889,68,2316
train,agent_vehicle,5,2,869,870,1,0.0,0,0
train,agent_vehicle,6,219,871,1089,1,1227.662100456621,418,1953
train,agent_vehicle,7,180,1090,1269,1,1072.5111111111112,259,2282
train,agent_vehicle,8,69,1270,1338,1,1247.2753623188405,952,1431
train,agent_vehicle,9,131,1339,1469,1,590.2442748091603,65,1509
train,agent_vehicle,10,199,1470,1668,1,851.3768844221106,0,1384
train,agent_vehicle,11,139,1669,1807,1,471.19424460431657,0,1234
train,agent_vehicle,12,160,1808,1967,1,375.25,43,615
train,agent_vehicle,13,150,1968,2117,1,449.99333333333334,149,840
train,agent_vehicle,14,133,2118,2250,1,450.01503759398497,0,1153
train,agent_vehicle,15,160,2251,2410,1,697.2375,387,1267
train,agent_vehicle,16,191,2411,2601,1,702.696335078534,324,1225
train,agent_vehicle,17,180,2602,2781,1,580.9277777777778,0,1232
train,agent_vehicle,18,150,2782,2931,1,392.53333333333336,0,776
train,agent_vehicle,19,140,2932,3071,1,971.15,444,1705
train,agent_vehicle,20,190,3072,3261,1,1041.1526315789474,148,1897
train,agent_vehicle,21,150,3262,3411,1,284.24,0,623
train,agent_vehicle,22,120,3412,3531,1,653.275,204,1040
train,agent_vehicle,23,180,3532,3711,1,238.75555555555556,0,643
train,agent_vehicle,24,120,3712,3831,1,420.25,136,831
train,agent_vehicle,25,200,3832,4031,1,374.99,0,957
train,agent_vehicle,26,170,4032,4201,1,508.1470588235294,74,979
train,agent_vehicle,27,130,4202,4331,1,486.6461538461538,70,1010
train,agent_vehicle,28,140,4332,4471,1,382.97857142857146,64,812
train,agent_vehicle,29,175,4472,4646,1,153.26285714285714,0,525
train,agent_vehicle,30,190,4647,4836,1,349.82105263157894,125,810
train,agent_vehicle,31,170,4837,5006,1,555.4941176470588,113,1058
train,agent_vehicle,32,210,5007,5216,1,510.6952380952381,206,914
train,agent_vehicle,33,200,5217,5416,1,510.89,267,1011
train,agent_vehicle,34,190,5417,5606,1,662.978947368421,204,1010
train,agent_vehicle,35,190,5607,5796,1,778.9842105263158,474,1156
train,agent_vehicle,36,210,5797,6006,1,551.5333333333333,69,1238
train,agent_vehicle,37,148,6007,6497,344,585.1756756756756,0,1221
train,agent_vehicle,38,110,6017,6206,81,648.0090909090909,278,872
train,agent_vehicle,39,80,6126,6205,1,505.5875,264,685
train,agent_vehicle,40,261,6207,6667,201,1058.6781609195402,283,1656
train,agent_vehicle,41,62,6298,6359,1,764.5967741935484,525,1052
train,agent_vehicle,42,209,6668,6876,1,86.36363636363636,0,299
train,agent_vehicle,43,160,6877,7036,1,713.9375,390,1124
train,agent_vehicle,44,225,7037,8221,861,433.2088888888889,0,1384
train,agent_vehicle,45,100,7077,7176,1,587.28,103,1592
train,agent_vehicle,46,60,7337,7396,1,145.61666666666667,0,303
train,agent_vehicle,47,100,7397,7496,1,194.87,0,904
train,agent_vehicle,48,154,7497,7650,1,258.64935064935065,0,579
train,agent_vehicle,49,233,7651,8391,264,239.6695278969957,0,869
train,agent_vehicle,50,101,7756,7856,1,772.6138613861386,276,1367
train,agent_vehicle,51,162,7857,8018,1,339.9320987654321,0,634
train,agent_vehicle,52,80,8117,8196,1,181.275,60,347
train,agent_vehicle,53,180,8222,8431,31,369.3,65,873
train,agent_vehicle,54,120,8432,8551,1,336.125,0,840
train,agent_vehicle,55,590,8552,9321,181,678.3847457627119,0,1449
train,agent_vehicle,56,180,8802,8981,1,607.1222222222223,66,1297
val,agent_infrastructure,0,43,0,42,1,278.6279069767442,200,312
val,agent_infrastructure,1,33,43,75,1,111.36363636363636,60,205
val,agent_infrastructure,2,176,76,251,1,661.2443181818181,197,1264
val,agent_infrastructure,3,64,252,315,1,173.0625,122,247
val,agent_infrastructure,4,52,316,367,1,243.01923076923077,125,282
val,agent_infrastructure,5,131,368,498,1,702.0916030534352,484,942
val,agent_infrastructure,6,203,499,701,1,1181.3399014778324,854,1611
val,agent_infrastructure,7,229,702,930,1,953.6855895196506,619,1302
val,agent_infrastructure,8,222,931,1152,1,1517.0900900900901,1108,2220
val,agent_infrastructure,9,157,1153,1309,1,65.10828025477707,0,319
val,agent_infrastructure,10,104,1310,1413,1,483.8269230769231,130,845
val,agent_infrastructure,11,212,1414,1625,1,272.7688679245283,186,389
val,agent_infrastructure,12,172,1626,1797,1,370.29651162790697,258,526
val,agent_infrastructure,13,191,1798,1988,1,494.0,325,694
val,agent_infrastructure,14,165,1989,2153,1,697.3636363636364,424,1044
val,agent_infrastructure,15,88,2154,2241,1,339.8181818181818,140,564
val,agent_infrastructure,16,197,2242,2438,1,713.8121827411168,461,1020
val,agent_infrastructure,17,198,2439,2636,1,1326.378787878788,1003,1649
val,agent_infrastructure,18,218,2637,2854,1,1102.1146788990825,711,1620
val,agent_infrastructure,19,210,2855,3064,1,947.2619047619048,463,1388
val,agent_infrastructure,20,251,3065,3315,1,932.4741035856574,604,1351
val,agent_infrastructure,21,170,3316,3485,1,545.7823529411764,425,770
val,agent_infrastructure,22,138,3486,3623,1,1008.4565217391304,772,1232
val,agent_vehicle,0,207,0,206,1,887.8695652173913,0,1953
val,agent_vehicle,1,150,207,356,1,501.46,61,1022
val,agent_vehicle,2,174,357,530,1,526.5229885057471,132,986
val,agent_vehicle,3,169,531,699,1,249.44970414201183,55,599
val,agent_vehicle,4,120,700,819,1,282.2916666666667,0,781
val,agent_vehicle,5,210,820,1029,1,315.1857142857143,114,547
val,agent_vehicle,6,190,1030,1219,1,328.2315789473684,78,711
val,agent_vehicle,7,170,1220,1389,1,524.1176470588235,158,800
val,agent_vehicle,8,140,1390,1529,1,803.15,552,1290
val,agent_vehicle,9,250,1530,1779,1,579.364,335,1032
val,agent_vehicle,10,210,1780,1989,1,964.4761904761905,256,1641
val,agent_vehicle,11,100,1990,2089,1,448.53,187,799
val,agent_vehicle,12,190,2090,2279,1,787.6421052631579,253,1291
val,agent_vehicle,13,588,2280,2867,1,608.0884353741496,0,1599
val,agent_vehicle,14,310,2868,3177,1,868.3612903225807,255,1796
val,agent_vehicle,15,60,3178,3237,1,146.03333333333333,60,297
val,agent_vehicle,16,255,3238,4952,1461,471.7098039215686,0,1243
val,agent_vehicle,17,1870,3413,5532,171,397.5385026737968,0,1247
val,agent_vehicle,18,170,4453,4622,1,440.2352941176471,70,795
val,agent_vehicle,19,200,5533,5732,1,597.76,0,1635
val,agent_vehicle,20,230,5733,5962,1,567.0565217391304,368,1036
