method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
Detector + Ours,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,1,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,2,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,3,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,4,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,5,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,0,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,1,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,2,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,3,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,4,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,5,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,0,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,1,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,2,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,3,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,4,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,5,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,1,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,2,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,3,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,4,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,5,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,0,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,1,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,2,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,3,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,4,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,5,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,0,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,1,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,2,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,3,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,4,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + Ours,5,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,1,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,2,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,3,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,4,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,5,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,0,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,1,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,2,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,3,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,4,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,5,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,0,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,1,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,2,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,3,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,4,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,5,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,0,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,1,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,2,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,3,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,4,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,5,0,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,0,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,1,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,2,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,3,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,4,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,5,2,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,0,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,1,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,2,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,3,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,4,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
Detector + SyncNet,5,4,,,,,dair_detector_ours_syncnet,fill metric columns after experiment completes
